const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
0.5,3,1000,0.45,0.0651969295707128,,1,InsectsIncrementalBalanced
1.0,2,500,0.5,0.0567775525595123,,1,InsectsIncrementalBalanced
1.0,2,500,0.45,0.0567775525595123,,1,InsectsIncrementalBalanced
1.0,2,500,0.55,0.0567650249674909,,1,InsectsIncrementalBalanced
0.5,3,500,0.5,0.0567324532282351,,1,InsectsIncrementalBalanced
0.5,3,500,0.45,0.0567274421914266,,1,InsectsIncrementalBalanced
0.5,3,500,0.55,0.0567274421914266,,1,InsectsIncrementalBalanced
0.5,2,500,0.5,0.0497220127330445,,1,InsectsIncrementalBalanced
0.5,2,500,0.45,0.0497220127330445,,1,InsectsIncrementalBalanced
1.0,2,1000,0.45,0.049270393040672,,1,InsectsIncrementalBalanced
1.0,2,1000,0.5,0.049217777154182,,1,InsectsIncrementalBalanced
1.0,2,1000,0.55,0.0492024308539558,,1,InsectsIncrementalBalanced
0.5,2,1000,0.5,0.0437238016731851,,1,InsectsIncrementalBalanced
0.5,2,1000,0.45,0.0436906731520618,,1,InsectsIncrementalBalanced
0.5,2,1000,0.55,0.0436887244155251,,1,InsectsIncrementalBalanced
0.5,2,500,0.55,0.0395969623094866,,1,InsectsIncrementalBalanced
1.0,3,250,0.45,0.0383254117193117,,1,InsectsIncrementalBalanced
0.5,3,250,0.45,0.0327957743596938,,1,InsectsIncrementalBalanced
1.0,3,250,0.5,0.0318355344312515,,1,InsectsIncrementalBalanced
0.5,3,250,0.5,0.0302473891052735,,1,InsectsIncrementalBalanced
0.5,3,250,0.55,0.0281344661617211,,1,InsectsIncrementalBalanced
1.0,3,250,0.55,0.0280680699240076,,1,InsectsIncrementalBalanced
1.0,2,250,0.45,0.0247185050072785,,1,InsectsIncrementalBalanced
0.5,2,250,0.45,0.0197590192398758,,1,InsectsIncrementalBalanced
1.0,2,250,0.5,0.0197204342564498,,1,InsectsIncrementalBalanced
0.5,2,250,0.5,0.0187746845761122,,1,InsectsIncrementalBalanced
0.5,2,250,0.55,0.0171306650724307,,1,InsectsIncrementalBalanced
1.0,2,250,0.55,0.0164132334800731,,1,InsectsIncrementalBalanced
0.5,3,100,0.45,0.004285005907329,,1,InsectsIncrementalBalanced
1.0,3,100,0.45,0.0042612888978885,,1,InsectsIncrementalBalanced
0.5,3,100,0.5,0.0040408623649502,,1,InsectsIncrementalBalanced
1.0,3,100,0.5,0.0039747384038877,,1,InsectsIncrementalBalanced
0.5,3,100,0.55,0.0037460757317992,,1,InsectsIncrementalBalanced
1.0,3,100,0.55,0.0037220478103021,,1,InsectsIncrementalBalanced
1.0,2,100,0.45,0.002308536163804,,1,InsectsIncrementalBalanced
0.5,2,100,0.45,0.0022958739701114,,1,InsectsIncrementalBalanced
1.0,2,100,0.5,0.0021625660820988,,1,InsectsIncrementalBalanced
0.5,2,100,0.5,0.0020987200640772,,1,InsectsIncrementalBalanced
1.0,2,100,0.55,0.0020247595328711,,1,InsectsIncrementalBalanced
0.5,2,100,0.55,0.0019494185944542,,1,InsectsIncrementalBalanced
1.0,2,1000,0.45,0.0184190785772332,,1,InsectsIncrementalReoccurringBalanced
1.0,2,1000,0.55,0.0184081390260673,,1,InsectsIncrementalReoccurringBalanced
1.0,2,1000,0.5,0.0184070971640515,,1,InsectsIncrementalReoccurringBalanced
1.0,3,1000,0.45,0.0184029297159884,,1,InsectsIncrementalReoccurringBalanced
