n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
500,0.1,0.6,0.0084547731138237,0.0008923408499132,5,InsectsIncrementalReoccurringBalanced
50,0.1,0.8,0.0067871072591843,0.0006264732535551,5,InsectsIncrementalReoccurringBalanced
125,0.5,0.6,0.0063332968288278,0.0006075676519623,5,InsectsIncrementalReoccurringBalanced
125,0.1,0.7,0.0049925502028627,0.0003236390897021,5,InsectsIncrementalReoccurringBalanced
250,0.1,0.6,0.0029152523536103,0.0001347418728487,5,InsectsIncrementalReoccurringBalanced
50,1.0,0.6,0.0026336189874178,0.000133825751145,5,InsectsIncrementalReoccurringBalanced
50,0.1,0.7,0.0011390565009843,2.8389027586948055e-05,5,InsectsIncrementalReoccurringBalanced
50,0.5,0.6,0.0011323828021739,2.653933114650975e-05,5,InsectsIncrementalReoccurringBalanced
125,0.1,0.6,0.0010607512017838,1.8594918438815545e-05,5,InsectsIncrementalReoccurringBalanced
50,0.1,0.6,0.000423448255809,2.538750557236329e-06,5,InsectsIncrementalReoccurringBalanced
500,1.0,0.8,0.0131392958108455,0.002853035864671,5,NOAAWeather
500,0.5,0.8,0.0073468076513565,0.0010561182422762,5,NOAAWeather
250,1.0,0.8,0.0069820333684745,0.0016305619667527,5,NOAAWeather
500,1.0,0.7,0.0036400851782501,0.0002419681156636,5,NOAAWeather
500,0.5,0.7,0.0015468941850054,0.0001462105968269,5,NOAAWeather
500,1.0,0.6,0.0014157713271051,9.30837748052958e-05,5,NOAAWeather
500,0.1,0.7,0.0012043121026359,8.668272695811524e-05,5,NOAAWeather
500,0.1,0.6,0.0011961669787421,1.5671832452273468e-05,5,NOAAWeather
500,0.1,0.8,0.00113548748861,2.8702328667229795e-05,5,NOAAWeather
500,0.5,0.6,0.0011247577463731,4.452600369361176e-05,5,NOAAWeather
250,0.5,0.8,0.0010211800988706,4.733016652241199e-05,5,NOAAWeather
250,1.0,0.7,0.0010184880076938,2.8917565037736826e-05,5,NOAAWeather
250,0.5,0.7,0.0008524423523232,2.376508663223304e-05,5,NOAAWeather
250,1.0,0.6,0.0007546544161436,2.542047129184568e-05,5,NOAAWeather
