confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (ht) (std),count,stream
0.01,0.01,3,100,0.0004520174998024,3.619470226198745e-06,5,RialtoBridgeTimelapse
0.1,0.01,2,100,0.0004162641212619,1.5795523771609784e-06,5,RialtoBridgeTimelapse
0.01,0.1,2,100,0.0004052801042153,1.8174785820758048e-06,5,RialtoBridgeTimelapse
0.1,0.01,3,100,0.0004015867035762,6.071387379482216e-06,5,RialtoBridgeTimelapse
0.1,0.1,3,100,0.0003978294187598,0.0,5,RialtoBridgeTimelapse
0.01,0.1,3,100,0.0003931672109105,1.4459067556341022e-06,5,RialtoBridgeTimelapse
0.1,0.1,2,100,0.0003911111158614,0.0,5,RialtoBridgeTimelapse
0.01,0.1,3,1000,0.008902174852279,0.0005709503315408,5,SineClusters
0.01,0.01,3,1000,0.0088433913846595,0.0005838884700209,5,SineClusters
0.01,0.1,2,1000,0.0083991476158985,0.0001910157537655,5,SineClusters
0.01,0.01,3,500,0.0083653565499915,0.0006510682997581,5,SineClusters
0.01,0.01,2,1000,0.008298988372978,0.0001832312561852,5,SineClusters
0.01,0.1,2,500,0.0081094087697353,1.5210050493889325e-05,5,SineClusters
0.01,0.01,2,500,0.0081060046802892,8.654098224241936e-06,5,SineClusters
0.01,0.1,3,500,0.008009687133077,0.0003098266726522,5,SineClusters
0.1,0.01,2,1000,0.0072580646813157,7.289746603079216e-06,5,SineClusters
0.1,0.1,2,1000,0.0072274138713808,5.706979150721327e-05,5,SineClusters
0.1,0.01,2,500,0.0066831315316314,0.0001527210038276,5,SineClusters
0.1,0.1,2,500,0.0065196427627399,0.0002247574518971,5,SineClusters
0.1,0.1,3,1000,0.0051502779937668,0.000212442492903,5,SineClusters
0.1,0.01,3,1000,0.0050312962447813,0.0002318308773597,5,SineClusters
0.1,0.01,3,500,0.0036017871551269,0.0001357056597394,5,SineClusters
0.1,0.1,3,500,0.0035262348355658,0.0001801870021423,5,SineClusters
0.01,0.1,3,250,0.0008246504039853,1.7132974484692427e-06,5,SineClusters
0.01,0.01,3,250,0.000824242774055,1.6288195675625172e-06,5,SineClusters
