confidence,feature_proportion,n_clusters,n_samples,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
0.01,0.01,2,500,0.6733446519524617,0.000484332817664,5,InsectsGradualBalanced
0.1,0.01,2,1000,0.6716468590831919,0.0029487577092774,5,InsectsGradualBalanced
0.01,0.1,3,1000,0.6714066835065634,0.0021452002138455,5,InsectsGradualBalanced
0.1,0.01,3,100,0.6706861567766781,0.0027031609409967,5,InsectsGradualBalanced
0.01,0.1,2,1000,0.6700898587933247,0.0009799295677832,5,InsectsGradualBalanced
0.01,0.01,3,1000,0.6585034577001119,0.0011764986281555,5,InsectsGradualBalanced
0.01,0.01,2,1000,0.6577829309702266,0.0049534584611554,5,InsectsGradualBalanced
0.1,0.1,2,100,0.6530953662677543,0.0026866171835847,5,InsectsGradualBalanced
0.1,0.1,3,100,0.6456830510580148,0.0025213301323094,5,InsectsGradualBalanced
0.01,0.1,2,500,0.6823454397699569,0.0029480437463141,5,InsectsIncrementalAbruptBalanced
0.1,0.01,2,500,0.6804675876726887,0.0019746660103951,5,InsectsIncrementalAbruptBalanced
0.01,0.1,3,500,0.680187535162843,0.0024576314348899,5,InsectsIncrementalAbruptBalanced
0.01,0.1,3,250,0.6798574732762394,0.0009566785277724,5,InsectsIncrementalAbruptBalanced
0.1,0.1,2,500,0.678572232293555,0.000715675942039,5,InsectsIncrementalAbruptBalanced
0.01,0.1,2,250,0.6777595799212353,0.002383436744347,5,InsectsIncrementalAbruptBalanced
0.1,0.01,3,500,0.6775170344439582,0.0023318363432311,5,InsectsIncrementalAbruptBalanced
0.1,0.01,2,250,0.6772319809964368,0.0021947152141535,5,InsectsIncrementalAbruptBalanced
0.1,0.01,3,250,0.6766393698818528,0.0012029893049599,5,InsectsIncrementalAbruptBalanced
0.1,0.1,3,500,0.6762017878352191,0.0010193053184512,5,InsectsIncrementalAbruptBalanced
0.01,0.1,2,1000,0.6754116396824404,0.0007334092919617,5,InsectsIncrementalAbruptBalanced
0.01,0.1,3,1000,0.6754066387447646,0.001447672125963,5,InsectsIncrementalAbruptBalanced
0.01,0.1,3,100,0.6740463836969431,0.0019398707507595,5,InsectsIncrementalAbruptBalanced
0.1,0.1,3,1000,0.6739338625992374,0.0005804239378562,5,InsectsIncrementalAbruptBalanced
0.01,0.1,2,100,0.6737838344689628,0.0045380288992977,5,InsectsIncrementalAbruptBalanced
0.1,0.01,3,1000,0.6733612552353566,0.00125414777925,5,InsectsIncrementalAbruptBalanced
0.1,0.1,2,250,0.6732362317934613,0.001274209086539,5,InsectsIncrementalAbruptBalanced
0.1,0.01,2,1000,0.6728836656873163,0.0035145666173348,5,InsectsIncrementalAbruptBalanced
