n_reference_samples,recent_samples_proportion,threshold,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
500,0.1,0.6,0.7073025663619341,0.0005485141358294,5,NOAAWeather
50,0.5,0.7,0.7070051767815839,0.0012124630103982,5,NOAAWeather
250,1.0,0.8,0.7068619892058596,0.0021109232732088,5,NOAAWeather
50,0.5,0.6,0.7067408304879392,0.0018945938332162,5,NOAAWeather
500,0.1,0.7,0.7066417006278225,0.0033078605789166,5,NOAAWeather
50,1.0,0.6,0.7049895362925432,0.0006670325775367,5,NOAAWeather
50,1.0,0.8,0.7042295406983148,0.0007291601847192,5,NOAAWeather
50,1.0,0.7,0.7039211366890628,0.0004183308517421,5,NOAAWeather
500,1.0,0.7,0.7031501266659325,0.0016426830788164,5,NOAAWeather
250,1.0,0.7,0.7030950545214231,0.000497786387861,5,NOAAWeather
500,0.5,0.6,0.7029959246613063,0.0013883205932322,5,NOAAWeather
500,0.1,0.8,0.7029078092300914,0.000947176846018,5,NOAAWeather
500,0.5,0.7,0.7009031831699526,0.0019787690520124,5,NOAAWeather
500,0.5,0.8,0.6984800088115432,0.0010777831143727,5,NOAAWeather
50,0.5,0.6,0.8143035758939735,0.0016454797575755,5,OutdoorObjects
50,0.5,0.7,0.8106526631657914,0.0058921436259157,5,OutdoorObjects
50,1.0,0.6,0.8088022005501376,0.0022197890493795,5,OutdoorObjects
50,0.1,0.6,0.8078519629907477,0.0024411532606883,5,OutdoorObjects
50,0.1,0.7,0.8035508877219305,0.0071291941710249,5,OutdoorObjects
50,0.1,0.8,0.8008502125531383,0.0048314511278773,5,OutdoorObjects
50,0.5,0.8,0.7889472368092023,0.0050572014043902,5,OutdoorObjects
50,1.0,0.7,0.7827956989247312,0.0067715710305087,5,OutdoorObjects
125,0.1,0.6,0.7693923480870217,0.0019879576808554,5,OutdoorObjects
125,0.1,0.7,0.7627906976744186,0.0151711920477185,5,OutdoorObjects
125,1.0,0.6,0.7620405101275318,0.008563682837911,5,OutdoorObjects
125,0.5,0.6,0.7564891222805701,0.0033287444445698,5,OutdoorObjects
125,0.1,0.8,0.7541385346336584,0.0047590779564897,5,OutdoorObjects
50,1.0,0.8,0.7504876219054764,0.0037526044475727,5,OutdoorObjects
125,0.5,0.7,0.7321830457614403,0.0144917646439467,5,OutdoorObjects
250,0.1,0.7,0.7277819454863715,0.0095000721073216,5,OutdoorObjects
250,0.5,0.6,0.7117279319829957,0.0022183801066483,5,OutdoorObjects
250,0.1,0.6,0.7090105859798284,0.0028874732142516,3,OutdoorObjects
125,1.0,0.7,0.7009752438109528,0.0140095278710206,5,OutdoorObjects
250,1.0,0.6,0.6999249812453113,0.0068573689426367,5,OutdoorObjects
250,0.1,0.8,0.697024256064016,0.0059112155307195,5,OutdoorObjects
500,0.1,0.7,0.665666416604151,0.0,5,OutdoorObjects
250,0.5,0.7,0.6649162290572643,0.0058270468605807,5,OutdoorObjects
500,0.1,0.6,0.6619154788697175,0.003424122014911,5,OutdoorObjects
