seed,const,max_depth,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1734527155,0.5,3,500,0.55,0.0016916162662478,0.0015099241487619,0.1387710094563437,0.1384702776756775,0.1658368697163096,0.1626290640558692,0.0892377551095781,0.0889535523418541,0.1233436809401486,0.1194681100621236,"[2300, 5291, 6291, 7867, 8902, 11228, 12794, 14057, 15057, 16740, 17740, 19365, 22877, 23877, 24877, 26354]"
1734527209,0.5,3,1000,0.45,0.0016403551672706,0.0016039028302202,0.1387710094563437,0.1384702776756775,0.156814916296321,0.1561132088080997,0.0892377551095781,0.0889535523418541,0.1155025047127637,0.1154365474635923,"[2046, 4047, 6047, 8047, 10811, 13810, 15810, 19369, 22929, 24929, 27669]"
1734527242,0.5,3,1000,0.5,0.0015674504931697,0.0015765635774323,0.1387710094563437,0.1384702776756775,0.1560129648812109,0.1558124770274334,0.0892377551095781,0.0889535523418541,0.1146329788339319,0.1151089066100241,"[2041, 4041, 6041, 8041, 10811, 13810, 15810, 19363, 22929, 24929, 27669]"
1734527275,0.5,3,1000,0.55,0.0015674504931697,0.0015765635774323,0.1387710094563437,0.1384702776756775,0.1560129648812109,0.1558124770274334,0.0892377551095781,0.0889535523418541,0.1146329788339319,0.1151089066100241,"[2041, 4041, 6041, 8041, 10811, 13810, 15810, 19363, 22929, 24929, 27669]"
1734527307,1.0,2,100,0.45,-5.907231405944937e-05,-9.815551174524694e-05,0.1387710094563437,0.1384702776756775,0.1321549102816854,0.1274768603602098,0.0892377551095781,0.0889535523418541,0.1045833663037601,0.1017086959048239,"[199, 452, 721, 1228, 1428, 1753, 2143, 2403, 2603, 2861, 3151, 3405, 3655, 3938, 4153, 4353, 4608, 4831, 5041, 5247, 5447, 5647, 5847, 6047, 6267, 6467, 6667, 6867, 7516, 7856, 8272, 8472, 8672, 8872, 9141, 9370, 9963, 10292, 10656, 10969, 11169, 11476, 11699, 12058, 12337, 12561, 12761, 12976, 13178, 13400, 13652, 13852, 14052, 14252, 14452, 14672, 14910, 15110, 15339, 15539, 15752, 16170, 16370, 16754, 17029, 17266, 17466, 17727, 18098, 18443, 18698, 19026, 19391, 19694, 19977, 20349, 20593, 20793, 21053, 21298, 21498, 21711, 21969, 22169, 22389, 22589, 22789, 22989, 23189, 23401, 23647, 23981, 24410, 24652, 24852, 25093, 25321, 25521, 25749, 25994, 26197, 26485, 26766, 27287, 27960, 28352, 28632, 28865, 29114, 29349, 29549, 29810]"
1734527328,1.0,2,100,0.5,-5.071865348538579e-05,-9.01001961916856e-05,0.1387710094563437,0.1384702776756775,0.1330905202659805,0.1283790557022087,0.0892377551095781,0.0889535523418541,0.1052981584184992,0.102314364159334,"[199, 452, 720, 1226, 1426, 1753, 2090, 2403, 2603, 2861, 3151, 3405, 3655, 3938, 4153, 4353, 4608, 4831, 5040, 5247, 5447, 5647, 5847, 6047, 6267, 6467, 6667, 6867, 7516, 7856, 8272, 8472, 8672, 8872, 9141, 9370, 9962, 10292, 10656, 10968, 11168, 11476, 11699, 12058, 12337, 12561, 12761, 12976, 13178, 13400, 13652, 13852, 14052, 14252, 14452, 14672, 14910, 15110, 15339, 15539, 15752, 16170, 16370, 16753, 17029, 17266, 17466, 17727, 18098, 18442, 18698, 19026, 19391, 19694, 19977, 20349, 20593, 20793, 21053, 21298, 21498, 21711, 21969, 22169, 22389, 22589, 22789, 22989, 23189, 23398, 23647, 23981, 24410, 24652, 24852, 25093, 25321, 25521, 25749, 25994, 26197, 26485, 26765, 27279, 27960, 28349, 28632, 28864, 29113, 29348, 29548, 29808]"
1734527348,1.0,2,100,0.55,-5.0269815843922194e-05,-9.196419251446965e-05,0.1387710094563437,0.1384702776756775,0.1330905202659805,0.1280783239215424,0.0892377551095781,0.0889535523418541,0.1049357438420482,0.1018056499657255,"[199, 452, 720, 1080, 1305, 1753, 2089, 2402, 2602, 2861, 3100, 3320, 3581, 3783, 4102, 4323, 4523, 4754, 4958, 5158, 5358, 5558, 5761, 5961, 6170, 6370, 6652, 6852, 7185, 7509, 7710, 8270, 8470, 8670, 8870, 9141, 9370, 9962, 10292, 10656, 10968, 11168, 11475, 11699, 12058, 12334, 12561, 12761, 12976, 13178, 13400, 13652, 13852, 14052, 14252, 14452, 14672, 14905, 15105, 15338, 15538, 15752, 16169, 16369, 16753, 17029, 17265, 17465, 17727, 18097, 18442, 18698, 19026, 19390, 19694, 19975, 20348, 20593, 20793, 21045, 21245, 21457, 21711, 21968, 22168, 22388, 22588, 22788, 22988, 23188, 23398, 23646, 23981, 24410, 24652, 24852, 25086, 25321, 25521, 25749, 25994, 26197, 26482, 26683, 27279, 27959, 28349, 28632, 28864, 29113, 29348, 29548, 29808]"
1734527369,1.0,2,250,0.45,0.0007284392020583,0.0005658212762165,0.1387710094563437,0.1384702776756775,0.160624185518094,0.1554449159621746,0.0892377551095781,0.0889535523418541,0.1205510450970057,0.1152116427701451,"[2546, 3074, 5006, 5506, 6006, 6516, 7670, 8718, 9218, 11115, 11639, 12709, 13964, 14510, 15063, 15710, 16408, 17472, 17972, 19706, 20356, 21613, 22312, 22828, 23328, 24660, 26233, 26733, 28779, 29429]"
1734527403,1.0,2,250,0.5,0.0007774473440928,0.0006036912041523,0.1387710094563437,0.1384702776756775,0.1620944297791292,0.1565810138002472,0.0892377551095781,0.0889535523418541,0.1213230205788405,0.1156001205937421,"[2546, 3074, 4999, 5499, 5999, 6499, 7670, 8718, 9218, 11115, 11639, 12709, 13964, 14510, 15062, 15709, 16407, 17472, 17972, 19706, 20356, 21613, 22312, 22827, 23327, 24641, 26009, 26585, 28778, 29286]"
1734527438,1.0,2,250,0.55,0.0007696505942237,0.0006003497399227,0.1387710094563437,0.1384702776756775,0.1618605272830554,0.1564807698733585,0.0892377551095781,0.0889535523418541,0.1210363553874771,0.1154899519395009,"[2546, 3074, 4993, 5493, 5993, 6495, 7670, 8718, 9218, 11115, 11624, 12708, 13963, 14510, 15062, 15709, 16407, 17472, 17972, 19706, 20355, 21473, 22312, 22827, 23327, 24641, 26009, 26585, 28778, 29286]"
